species_id;GBIF_species_id;GBIF_species_name
257;5384754;Silene acaulis
258;3129663;Baccharis halimifolia
259;2889011;Rumex obtusifolius
260;2879175;Quercus coccifera
261;9220780;Crataegus monogyna
262;3169340;Lysimachia punctata
263;3170442;Araujia sericifera
264;6109534;Amaranthus retroflexus
265;2855338;Galanthus plicatus
266;3040983;Raphanus raphanistrum
267;3680996;Ipomoea lobata
268;2742119;Veratrum album
269;3188794;Circaea lutetiana
270;2874199;Passiflora caerulea
271;2747084;Freesia refracta
272;5361969;Cotyledon orbiculata
273;2739769;Colchicum lusitanum
274;8087525;Centaurea scabiosa
275;5347702;Genista sagittalis
276;5330661;Arum italicum
277;3085360;Saponaria officinalis
278;3152583;Hibiscus syriacus
279;2891772;Impatiens walleriana
280;2927177;Mentha longifolia
281;7467639;Ficus microcarpa
282;2890040;Geranium dissectum
283;3084700;Portulaca grandiflora
284;5334268;Lonicera fragrantissima
285;7301010;Sixalix atropurpurea
286;3039046;Fatsia japonica
287;2891608;Pelargonium graveolens
288;3085357;Saponaria ocymoides
289;7736011;Claytonia perfoliata
290;5362007;Sedum acre
291;3638793;Bupleurum fruticosum
292;5361841;Pilea microphylla
293;8427624;Oxalis corniculata
294;2985944;Kalanchoe blossfeldiana
295;5332305;Ostrya carpinifolia
296;3088761;Limbarda crithmoides
297;3098912;Cosmos bipinnatus
298;2925496;Verbena rigida
299;8207952;Matthiola incana
300;2706164;Holcus lanatus
301;4051746;Polygaloides chamaebuxus
302;3120333;Achillea ptarmica
303;7558421;Symphytum officinale
304;7886346;Hordeum murinum
305;2931714;Solanum laxum
306;5341754;Nicandra physalodes
307;5582546;Salix atrocinerea
308;3117424;Bellis perennis
309;2816176;Neottia nidus-avis
310;5359378;Trifolium incarnatum
311;8313153;Quercus palustris
312;7308026;Orthosiphon aristatus
313;3033289;Trollius europaeus
314;7883492;Hedychium coronarium
315;2928441;Calystegia sepium
316;3147168;Erigeron karvinskianus
317;2985986;Hydrangea arborescens
318;3026035;Cotoneaster coriaceus
319;5372639;Salix babylonica
320;5331916;Betula pendula
321;5384738;Silene flos-cuculi
322;2704179;Poa annua
323;2875979;Corylus avellana
324;2768885;Asparagus officinalis
325;2888946;Rumex longifolius
326;5341129;Callicarpa americana
327;5405976;Arnica montana
328;2768995;Asparagus acutifolius
329;5409933;Campanula glomerata
330;2805322;Spiranthes spiralis
331;8011540;Potentilla argentea
332;2883073;Rhododendron ferrugineum
333;2888995;Rumex acetosella
334;2985965;Deutzia scabra
335;2854755;Agapanthus praecox
336;3105419;Carlina acanthifolia
337;2958650;Caesalpinia gilliesii
338;8184903;Lysimachia arvensis
339;2986045;Philadelphus coronarius
340;7845022;Gymnadenia conopsea
341;2684191;Taxodium distichum
342;2888778;Valerianella locusta
343;7523753;Symphoricarpos albus
344;2928774;Nicotiana tabacum
345;3069353;Euphorbia tirucalli
346;3067602;Euphorbia corsica
347;3146791;Erigeron canadensis
348;4201607;Phedimus spurius
349;5296432;Sisyrinchium striatum
350;2687937;Equisetum fluviatile
351;9558260;Lonicera implexa
352;2771287;Hosta plantaginea
353;3033107;Helleborus niger
354;5367246;Argentina anserina
355;3134867;Catananche caerulea
356;3084719;Portulaca oleracea
357;2889304;Persicaria capitata
358;2761337;Maranta leuconeura
359;5411920;Campanula rapunculus
360;5364029;Photinia serratifolia
361;9023462;Centaurea montana
362;3134857;Lapsana communis
363;9376410;Delosperma cooperi
364;5414222;Ilex aquifolium
365;3042845;Brassica oleracea
366;3935079;Malva arborea
367;3046076;Cardamine flexuosa
368;7847528;Carduus carlinoides
369;3070106;Euphorbia cyparissias
370;6438085;Cistus creticus
371;8231647;Dactylorhiza sambucina
372;2952882;Bituminaria bituminosa
373;2927000;Salvia sclarea
374;3181762;Leptospermum scoparium
375;2795869;Cephalanthera longifolia
376;2928751;Datura stramonium
377;8400876;Dianthus carthusianorum
378;3039193;Parthenocissus vitacea
379;3033757;Delphinium elatum
380;5284702;Cedrus atlantica
381;8677924;Pittosporum tobira
382;3190522;Cotinus coggygria
383;3104491;Argyranthemum frutescens
384;5284698;Cedrus deodara
385;2874508;Cucurbita pepo
386;6437976;Cistus ladanifer
387;2716311;Cyperus papyrus
388;7267309;Silene baccifera
389;5392950;Echinops ritro
390;3084015;Phytolacca americana
391;2705308;Dactylis glomerata
392;5421039;Ludwigia grandiflora
393;3188507;Medinilla magnifica
394;3042636;Brassica napus
395;3172499;Jacaranda mimosifolia
396;2930262;Solanum tuberosum
397;3152861;Liriodendron tulipifera
398;5420901;Punica granatum
399;3021730;Prunus cerasifera
400;2856457;Allium triquetrum
401;5415463;Thunbergia alata
402;2925892;Echium vulgare
403;3152048;Tilia platyphyllos
404;5411475;Campanula persicifolia
405;5297439;Tigridia pavonia
406;3120790;Artemisia verlotiorum
407;2765272;Tradescantia virginiana
408;2959128;Dorycnium pentaphyllum
409;3101212;Farfugium japonicum
410;2749791;Gladiolus italicus
411;2988354;Physocarpus opulifolius
412;3033558;Clematis vitalba
413;5415039;Syringa vulgaris
414;7318448;Eryngium bourgatii
415;2974832;Vicia faba
416;9500949;Primula acaulis
417;3189870;Acer pseudoplatanus
418;2882803;Arbutus unedo
419;3033896;Berberis thunbergii
420;2684030;Cupressus sempervirens
421;3082240;Cornus florida
422;3172592;Podranea ricasoliana
423;2769766;Ruscus aculeatus
424;3062975;Mercurialis annua
425;5362063;Crassula ovata
426;3034015;Laurus nobilis
427;3180085;Myrtus communis
428;2753090;Lilium candidum
429;2770610;Sansevieria trifasciata
430;5341758;Brugmansia suaveolens
431;5348646;Coronilla viminalis
432;2882833;Vaccinium myrtillus
433;5354656;Cytisus scoparius
434;2650676;Asplenium nidus
435;7901652;Viola wittrockiana
436;3085370;Moehringia trinervia
437;5551241;Iberis sempervirens
438;3024146;Eriobotrya japonica
439;5384741;Silene coronaria
440;8262702;Pastinaca sativa
441;5380041;Ricinus communis
442;5385215;Pallenis spinosa
443;5371702;Nigella damascena
444;5420853;Daphne laureola
445;2777430;Aloe maculata
446;3664589;Oenothera lindheimeri
447;3066367;Euphorbia helioscopia
448;2888811;Succisa pratensis
449;2888808;Knautia arvensis
450;3033312;Ranunculus flammula
451;9150405;Solanum nigrum
452;3112455;Gazania rigens
453;3169131;Euonymus europaeus
454;5289423;Typha latifolia
455;9505138;Aristaloe aristata
456;5334186;Chelidonium majus
457;6376216;Clematis montana
458;4889932;Dryas octopetala
459;8272844;Lysimachia europaea
460;2927280;Betonica officinalis
461;7282451;Astrophytum myriostigma
462;4199356;Adromischus cooperi
463;7818643;Prunus armeniaca
464;2959124;Dorycnium hirsutum
465;2927305;Lavandula angustifolia
466;3149879;Tussilago farfara
467;2888585;Viburnum tinus
468;2985949;Sempervivum tectorum
469;2928034;Nemophila maculata
470;3148340;Inula helenium
471;7721054;Ranunculus asiaticus
472;3172297;Ligustrum lucidum
473;3190642;Schinus molle
474;2985936;Kalanchoe daigremontiana
475;2778437;Asphodelus fistulosus
476;3002154;Rosa micrantha
477;5333411;Erica cinerea
478;2925562;Vitex agnus-castus
479;2766696;Agave victoriae-reginae
480;5330776;Colocasia esculenta
481;9206251;Helianthus annuus
482;3138327;Carthamus tinctorius
483;5403742;Scolymus hispanicus
484;3046044;Cardamine amara
485;3039209;Parthenocissus tricuspidata
486;2927029;Salvia splendens
487;5578452;Globularia arabica
488;7303307;Begonia boliviensis
489;2753380;Lilium lancifolium
490;2927208;Mentha aquatica
491;5334269;Lonicera caerulea
492;5362055;Crassula tillaea
493;8625614;Lactuca viminea
494;2869014;Zamioculcas zamiifolia
495;3789029;Osyris alba
496;3729273;Asarina procumbens
497;3083488;Paeonia officinalis
498;5341309;Galeopsis ladanum
499;3105433;Carlina acaulis
500;2865100;Alisma plantago-aquatica
501;5402943;Eupatorium cannabinum
502;3048831;Cakile maritima
503;2976091;Baptisia australis
504;3084842;Carpobrotus edulis
505;3029627;Sanguisorba officinalis
506;2930439;Solanum laciniatum
507;3045634;Cardamine heptaphylla
508;7827393;Rosa banksiae
509;8971274;Beta vulgaris
510;5371772;Levisticum officinale
511;2986130;Ribes sanguineum
512;3190583;Pistacia lentiscus
513;7334489;Sedum palmeri
514;3034807;Conium maculatum
515;5414995;Digitalis purpurea
516;2722051;Carex pendula
517;3152559;Hibiscus rosa-sinensis
518;3137579;Galactites tomentosa
519;5362008;Sedum album
520;2891304;Geranium pratense
521;3083838;Chenopodium album
522;6365236;Saintpaulia ionantha
523;7334368;Umbilicus rupestris
524;3054357;Juglans nigra
525;3087634;Cicerbita alpina
526;2745841;Sparaxis tricolor
527;5391454;Calendula stellata
528;3101184;Dittrichia viscosa
529;3172615;Catalpa bignonioides
530;7383157;Lantana viburnoides
531;3085776;Honckenya peploides
532;5347845;Pisum sativum
533;2750096;Gladiolus communis
534;5357013;Lotus corniculatus
535;3189807;Aesculus pavia
536;2972595;Onobrychis viciifolia
537;5359060;Trifolium aureum
538;2768686;Asparagus setaceus
539;5334259;Lonicera xylosteum
540;8185812;Mesembryanthemum cordifolium
541;3082297;Limonium sinuatum
542;3040249;Populus tremula
543;5359246;Trifolium arvense
544;8281825;Linum suffruticosum
545;5356517;Lathyrus latifolius
546;3172489;Tecoma capensis
547;3171949;Verbascum thapsus
548;3118216;Tanacetum corymbosum
549;3171145;Misopates orontium
550;9213153;Platanthera bifolia
551;2873991;Aristolochia clematitis
552;3021037;Prunus padus
553;5574508;Fittonia albivenis
554;5394163;Taraxacum officinale
555;2928551;Ipomoea batatas
556;2772020;Muscari neglectum
557;4930155;Viburnum davidii
558;3048203;Erysimum cheiri
559;3128166;Centaurea aspera
560;3083718;Atriplex halimus
561;2757556;Curcuma alismatifolia
562;5415461;Thunbergia erecta
563;5407810;Trachelium caeruleum
564;5305033;Kniphofia uvaria
565;5384396;Amaranthus deflexus
566;7127810;Cyclamen hederifolium
567;3064943;Euphorbia marginata
568;3033261;Anemone coronaria
569;3131494;Helichrysum stoechas
570;2763050;Ensete ventricosum
571;3034742;Daucus carota
572;3056259;Acalypha indica
573;5390848;Gnaphalium uliginosum
574;2767271;Scilla luciliae
575;8930531;Armeria maritima
576;5637947;Protea cynaroides
577;3118430;Tanacetum parthenium
578;2753786;Alstroemeria aurea
579;2888951;Rumex acetosa
580;3034871;Coriandrum sativum
581;5341198;Anchusa azurea
582;2977331;Wisteria sinensis
583;5298765;Iris foetidissima
584;2763116;Strelitzia reginae
585;8911082;Amaranthus blitum
586;5317489;Dendrobium nobile
587;2684969;Araucaria heterophylla
588;2888706;Kolkwitzia amabilis
589;2875968;Corylus colurna
590;3887764;Teucrium polium
591;3169331;Lysimachia clethroides
592;2964355;Lupinus polyphyllus
593;7740617;Skimmia japonica
594;7560711;Oxalis tetraphylla
595;2965379;Medicago arborea
596;2874190;Passiflora edulis
597;5298069;Iris germanica
598;8848598;Leucanthemum vulgare
599;8243662;Ornithogalum arabicum
600;8214730;Elaeagnus pungens
601;7287628;Grevillea rosmarinifolia
602;5353705;Hippocrepis emerus
603;3121319;Artemisia absinthium
604;3033518;Clematis viticella
605;2650617;Asplenium ceterach
606;3152824;Liquidambar styraciflua
607;7325923;Phillyrea latifolia
608;2890668;Geranium robertianum
609;2927518;Cuscuta epithymum
610;5341407;Monarda didyma
611;3152047;Tilia cordata
612;3092946;Callistephus chinensis
613;3105508;Andryala integrifolia
614;2747567;Crocus vernus
615;7309625;Phytolacca dioica
616;4194166;Impatiens niamniamensis
617;3152235;Pachira aquatica
618;2820517;Cypripedium calceolus
619;2706241;Lolium perenne
620;5285637;Pinus sylvestris
621;8353146;Saxifraga oppositifolia
622;3039285;Hippophae rhamnoides
623;7887000;Saxifraga granulata
624;3033131;Thalictrum aquilegifolium
625;3071476;Codiaeum variegatum
626;3152520;Althaea officinalis
627;5371450;Kerria japonica
628;3140685;Leontopodium nivale
629;9689880;Hieracium glaucinum
630;5560037;Linaria alpina
631;2925807;Heliotropium arborescens
632;8049341;Osmunda regalis
633;2874701;Tamarix canariensis
634;5341442;Thymus vulgaris
635;8211958;Oxalis acetosella
636;2926065;Symphytum tuberosum
637;7167078;Bougainvillea spectabilis
638;3120284;Achillea filipendulina
639;3142200;Rhaponticum coniferum
640;3190580;Pistacia terebinthus
641;2890287;Geranium nodosum
642;3169386;Lysimachia vulgaris
643;3035275;Tetrapanax papyrifer
644;7923515;Soldanella alpina
645;5372392;Vitis vinifera
646;8411755;Aria edulis
647;5377778;Aurinia saxatilis
648;2792827;Ophrys scolopax
649;7903019;Androsace villosa
650;2927096;Ocimum basilicum
651;3921447;Aquilegia atrata
652;2874024;Tuberaria guttata
653;5369701;Geum rivale
654;2913548;Galium aparine
655;3145214;Silybum marianum
656;3726736;Phygelius aequalis
657;2856288;Allium paniculatum
658;2888730;Weigela florida
659;5374154;Isatis lusitanica
660;2992637;Rubus albiflorus
661;3173413;Callistemon citrinus
662;2765120;Tradescantia sillamontana
663;8119595;Brachychiton acerifolius
664;7795888;Triticum aestivum
665;3140574;Lactuca perennis
666;5537918;Siler montanum
667;3082322;Limonium vulgare
668;3089561;Centaurea cyanus
669;7331435;Cistus albidus
670;3098951;Cosmos sulphureus
671;2700768;Luzula nivea
672;5420852;Daphne mezereum
673;3023878;Amelanchier ovalis
674;9823570;Salicornia europaea
675;2926945;Clinopodium vulgare
676;3928139;Ranunculus aconitifolius
677;3575839;Ceropegia collaricorona
678;3003979;Rosa rugosa
679;5324951;Himantoglossum hircinum
680;8324121;Trifolium pratense
681;3040233;Populus alba
682;8394144;Goeppertia lancifolia
683;8971475;Odontites vernus
684;2988188;Pyracantha coccinea
685;5372655;Salix eleagnos
686;2969284;Mimosa pudica
687;2650927;Nephrolepis exaltata
688;5361889;Morus alba
689;7443285;Sideritis hirsuta
690;3067891;Euphorbia prostrata
691;5384676;Stellaria holostea
692;2971016;Melilotus indicus
693;3188859;Oenothera speciosa
694;7268600;Erodium atlanticum
695;3033868;Berberis aquifolium
696;2705975;Anthoxanthum odoratum
697;2883094;Rhododendron maximum
698;2926684;Lamium maculatum
699;5329946;Alocasia sanderiana
700;3173196;Hypoestes phyllostachya
701;3889056;Perovskia atriplicifolia
702;5341164;Aloysia citriodora
703;2927078;Ajuga reptans
704;5385225;Pallenis maritima
705;3892852;Salvia patens
706;3084908;Gomphrena globosa
707;2767415;Scilla verna
708;5289756;Phalaris arundinacea
709;2889373;Fagopyrum esculentum
710;3001956;Agrimonia eupatoria
711;3176787;Eucalyptus globulus
712;2927004;Salvia officinalis
713;3001093;Malus pumila
714;2762680;Musa acuminata
715;2926110;Borago officinalis
716;2927064;Salvia farinacea
717;5331235;Viola arvensis
718;3032758;Saxifraga rosacea
719;5356354;Ceratonia siliqua
720;5334208;Corydalis solida
721;5376075;Alliaria petiolata
722;5361865;Ulmus minor
723;3172294;Ligustrum sinense
724;2706056;Hordeum vulgare
725;2888622;Viburnum plicatum
726;2747948;Crocosmia aurea
727;2926045;Brunnera macrophylla
728;5415019;Linaria repens
729;2971095;Melilotus albus
730;6109637;Cynodon dactylon
731;2926894;Ballota nigra
732;5384064;Opuntia ficus-indica
733;3164340;Platycodon grandiflorus
734;2891664;Oxalis articulata
735;7459480;Convallaria majalis
736;3033670;Aconitum anthora
737;3872451;Tarenaya spinosa
738;3026906;Spiraea cantoniensis
739;3022609;Prunus serrulata
740;2889173;Reynoutria japonica
741;3085320;Vaccaria hispanica
742;5334194;Macleaya cordata
743;5598915;Lonicera pileata
744;7960979;Urtica dioica
745;3032696;Astilbe japonica
746;2772902;Ornithogalum pyrenaicum
747;9151957;Medicago sativa
748;3882844;Stachys glutinosa
749;2874680;Ecballium elaterium
750;3085402;Sagina procumbens
751;2888636;Symphoricarpos orbiculatus
752;3022502;Prunus dulcis
753;5357407;Amorpha fruticosa
754;2889320;Persicaria virginiana
755;2684984;Araucaria araucana
756;3086240;Mirabilis jalapa
757;3172347;Fraxinus ornus
758;5410564;Campanula patula
759;2965299;Medicago orbicularis
760;5341478;Lycopus europaeus
761;3170823;Paulownia tomentosa
762;7307659;Sideritis incana
763;5384932;Saururus cernuus
764;3013215;Cormus domestica
765;5376426;Diplotaxis tenuifolia
766;3172062;Veronica beccabunga
767;8794742;Orchis purpurea
768;2888723;Sambucus racemosa
769;3172070;Veronica hederifolia
770;2931104;Solanum pseudocapsicum
771;5290149;Phragmites australis
772;3113414;Cirsium arvense
773;2953871;Bauhinia purpurea
774;5362058;Crassula multicava
775;5275012;Pteridium aquilinum
776;2776790;Drimia maritima
777;2882449;Nelumbo nucifera
778;7931731;Prunus domestica
779;5371818;Angelica sylvestris
780;6363496;Dianthus superbus
781;3032833;Saxifraga tridactylites
782;5304436;Dracaena reflexa
783;3711846;Hypericum hidcoteense
784;3128225;Centaurea nigra
785;5361815;Urtica urens
786;2963569;Styphnolobium japonicum
787;7972010;Cardamine pratensis
788;2965085;Retama monosperma
789;3067098;Euphorbia trigona
790;3172574;Spathodea campanulata
791;5708806;Nasturtium officinale
792;5374616;Barbarea australis
793;5312179;Limodorum abortivum
794;5415455;Acanthus mollis
795;2891031;Geranium rotundifolium
796;2773448;Ornithogalum umbellatum
797;5411453;Campanula medium
798;2734708;Chamaedorea seifrizii
799;7303475;Begonia maculata
800;2888722;Sambucus ebulus
801;2703777;Bromus hordeaceus
802;7792248;Cynoglossum dioscoridis
803;2849640;Orchis italica
804;3171945;Verbascum nigrum
805;7625285;Petrosedum forsterianum
806;6409706;Salvia verbenaca
807;5323839;Brassia caudata
808;2687885;Ginkgo biloba
809;2765359;Tradescantia zebrina
810;9823314;Helianthemum apenninum
811;2873926;Linum grandiflorum
812;5314764;Serapias vomeracea
813;9410160;Torminalis glaberrima
814;5401760;Ageratum houstonianum
815;5335125;Gardenia jasminoides
816;2889229;Persicaria orientalis
817;2984580;Maclura pomifera
818;6027319;Oenanthe crocata
819;5285165;Pinus pinea
820;2816250;Neottia ovata
821;3032442;Rhodotypos scandens
822;2705181;Sorghum bicolor
823;3042291;Hesperis matronalis
824;4064467;Cynoglossum creticum
825;7483998;Cneorum tricoccon
826;3039379;Ceanothus thyrsiflorus
827;8998684;Epipactis helleborine
828;2891641;Averrhoa carambola
829;5285604;Pinus halepensis
830;3169707;Vinca minor
831;5298051;Iris unguicularis
832;5362573;Pyrus communis
833;3094900;Onopordum acanthium
834;5359660;Glycine max
835;3889087;Clerodendrum thomsoniae
836;3103791;Matricaria discoidea
837;2891661;Oxalis pes-caprae
838;5334277;Lonicera periclymenum
839;5301162;Potamogeton crispus
840;7172720;Sedum dasyphyllum
841;2704394;Cynosurus echinatus
842;6403186;Cestrum elegans
843;2905493;Ixora coccinea
844;5358935;Trifolium fragiferum
845;3066465;Euphorbia pulcherrima
846;3132570;Galinsoga parviflora
847;2984306;Gunnera tinctoria
848;3133927;Coreopsis grandiflora
849;2927192;Mentha arvensis
850;7309294;Plectranthus madagascariensis
851;9458333;Pilosella officinarum
852;2695006;Tillandsia ionantha
853;2650479;Phlebodium aureum
854;3189939;Cardiospermum halicacabum
855;3189694;Actinidia chinensis
856;5356701;Lathyrus pratensis
857;3070382;Euphorbia serrata
858;2928835;Lycium barbarum
859;2928783;Nicotiana glauca
860;2888437;Papaver orientale
861;3085810;Spergula arvensis
862;5403935;Stokesia laevis
863;5339050;Sherardia arvensis
864;7104059;Salix rosmarinifolia
865;3023221;Prunus spinosa
866;9228111;Fumaria bastardii
867;2891755;Oxalis latifolia
868;2890983;Geranium maderense
869;3190638;Mangifera indica
870;5387821;Gaillardia pulchella
871;5361880;Cannabis sativa
872;3164381;Brighamia insignis
873;9297163;Erodium malacoides
874;8067043;Plantago subulata
875;2965395;Medicago marina
876;3027159;Spiraea douglasii
877;3169315;Cyclamen purpurascens
